Year,US Dollars Per Capita
1988,219.3718195
1989,184.3396842
1990,172.0447984
1991,193.7400952
1992,173.8913828
1993,155.5982751
1994,159.6357424
1995,180.4650233
1996,216.9327932
1997,249.931287
1998,296.3409541
1999,299.7867537
2000,306.7238273
2001,304.339284
2002,308.0565528
2003,323.0721066
2004,345.189237
2005,442.2528543
2006,471.5273761
2007,528.063562
2008,651.2624387
2009,658.7579527
2010,701.6045501
2011,733.4128065
2012,820.1562898
2013,901.7314303
2014,950.3743138
2015,872.2954949
2016,877.507612
2017,936.330768
