,Year,HDI
0,1990,0.37
1,1991,0.371
2,1992,0.37
3,1993,0.37
4,1994,0.369
5,1995,0.371
6,1996,0.37200000000000005
7,1997,0.375
8,1998,0.381
9,1999,0.38799999999999996
10,2000,0.395
11,2001,0.40299999999999997
12,2002,0.413
13,2003,0.423
14,2004,0.434
15,2005,0.44799999999999995
16,2006,0.45799999999999996
17,2007,0.46799999999999997
18,2008,0.47700000000000004
19,2009,0.486
20,2010,0.493
21,2011,0.499
22,2012,0.506
23,2013,0.507
24,2014,0.515
25,2015,0.528
26,2016,0.5329999999999999
27,2017,0.5379999999999999
